,precision,recall,f1-score,support
0,0.7222222222222222,0.9025110782865583,0.8023637557452397,677.0
1,0.9693593314763231,0.8988377098579423,0.9327674782220237,2323.0
accuracy,0.8996666666666666,0.8996666666666666,0.8996666666666666,0.8996666666666666
macro avg,0.8457907768492727,0.9006743940722504,0.8675656169836317,3000.0
weighted avg,0.9135887238213143,0.8996666666666666,0.9033397048497629,3000.0
