,precision,recall,f1-score,support
0,0.669431279620853,0.565,0.6127982646420824,2000.0
1,0.33689024390243905,0.442,0.38235294117647056,1000.0
accuracy,0.524,0.524,0.524,0.524
macro avg,0.503160761761646,0.5035,0.4975756029092765,3000.0
weighted avg,0.558584267714715,0.524,0.5359831568202118,3000.0
