,Accuracy,Precision,Recall,F1
BERT,0.95,0.9159977635619332,0.949921502971696,0.9313386341942148
RoBERTa,0.8996666666666666,0.8457907768492727,0.9006743940722504,0.8675656169836317
ViT,0.524,0.503160761761646,0.5035,0.4975756029092765
